experiment,fold,val_top1,val_f1_macro,val_f1_micro,val_auc_macro,test_top1,test_f1_macro,test_f1_micro,test_auc_macro
0,0,0.3690800217746325,0.05157627771989514,0.36908002177463256,0.5178138167204434,0.1943385955362003,0.06056629319760396,0.19433859553620034,0.5493417922976586
0,1,0.5021774632553075,0.10209130927919066,0.5021774632553075,0.6032089696226016,0.4220408163265306,0.08370689372945976,0.4220408163265306,0.5793078884082916
0,2,0.33904761904761904,0.06503780958966779,0.33904761904761904,0.5670963583648199,0.18829931972789116,0.05497606115112843,0.18829931972789116,0.5345500344016316
0,3,0.44517006802721093,0.10483775477369746,0.4451700680272109,0.6722197052543102,0.2542188350571584,0.07099548406677376,0.2542188350571584,0.6084599283068556
0,4,0.3579205225911813,0.05194925997435647,0.3579205225911813,0.506484136966947,0.30457267283614586,0.08032156545571804,0.30457267283614586,0.5413188268422295
100,0,0.5988928032209361,0.4309472496140962,0.5988928032209361,0.907756141536248,0.47257171615500754,0.34991017657296186,0.47257171615500754,0.8254242961943521
100,1,0.5392551585304479,0.37922761107228614,0.5392551585304479,0.8780743739122584,0.41333333333333333,0.2725349350993809,0.41333333333333333,0.7972310054128806
100,2,0.6384905660377358,0.43788525541861817,0.6387421383647799,0.9002429387742406,0.49861635220125783,0.3650724716936983,0.4986163522012579,0.806640652604879
100,3,0.7036477987421383,0.42079167435027875,0.7036477987421383,0.8952009290823139,0.5390035228988425,0.3595337704253142,0.5390035228988425,0.8352703467659717
100,4,0.6258178158027177,0.402614169699668,0.6258178158027177,0.9058269121766465,0.5103170608958228,0.39271049199724933,0.5103170608958228,0.8308832719172287
200,0,0.6270472625175479,0.5104118771820398,0.6268132896583997,0.9196039870230204,0.4831539541413196,0.43674296331193563,0.4831539541413196,0.856814039280485
200,1,0.6689284043051006,0.5017561697423151,0.669162377164249,0.9251095036620042,0.5396491228070175,0.4811176484580753,0.5396491228070175,0.8577758820342021
200,2,0.6678362573099415,0.5357709178202649,0.6678362573099416,0.9281164127155463,0.5452631578947369,0.4707531476087514,0.5452631578947369,0.8727494453241811
200,3,0.6570760233918129,0.5570910840921837,0.6570760233918128,0.9286783797620378,0.5098268600842303,0.43482828123914175,0.5098268600842303,0.8748856288711307
200,4,0.6441272812353768,0.5393387556266906,0.6438933083762284,0.934102823113663,0.5299485259709873,0.47004849562840395,0.5299485259709874,0.8629323621842447
300,0,0.6534761696545693,0.6188508430183883,0.6534761696545693,0.9422655308992773,0.5284215128989943,0.49817103528363776,0.5284215128989943,0.8853075508118718
300,1,0.6432006996064713,0.576552086916081,0.6432006996064713,0.9350119155111604,0.5189071038251366,0.5175616135688016,0.5189071038251366,0.882771140629105
300,2,0.6356284153005465,0.5624235878420386,0.6356284153005465,0.9365855490942229,0.5366120218579234,0.4968926234050622,0.5366120218579234,0.8992918755508484
300,3,0.6316939890710382,0.5791259009481887,0.6316939890710382,0.9420155671423643,0.4938784433756013,0.48227743561308956,0.4934411893310013,0.8710051574092726
300,4,0.6926104066462615,0.6127411368456462,0.6926104066462615,0.9436724639704681,0.5763008307826848,0.52286861454858,0.5763008307826848,0.8884072938751605
400,0,0.6522363561756258,0.5551590196179834,0.6522363561756258,0.9426136113135268,0.5051292572835453,0.49313489256734677,0.5051292572835453,0.8949650343542469
400,1,0.647517439474764,0.6070418097556277,0.647517439474764,0.9514712466802918,0.5374358974358975,0.4928626063712262,0.5374358974358975,0.8820462013951345
400,2,0.6754871794871795,0.627906594950094,0.6754871794871795,0.9539334909836866,0.5124102564102564,0.5143295397092938,0.5124102564102564,0.888849527050314
400,3,0.676923076923077,0.6329467528240128,0.676923076923077,0.9553344132396043,0.5069757899056216,0.521037447344647,0.5069757899056216,0.8884540350018582
400,4,0.6936807550266721,0.6488167084617655,0.6936807550266721,0.9443965709009228,0.5309807139926138,0.5257725968798943,0.5309807139926138,0.8839503641205145
500,0,0.6959798994974874,0.6555575383803263,0.6959798994974874,0.9566876822818161,0.5693853884808658,0.5619650575664886,0.5693853884808658,0.9163388687464636
500,1,0.6673753382296096,0.617754732847949,0.6673753382296096,0.9486065114325182,0.48695652173913045,0.5198449194017367,0.48695652173913045,0.9087944290823124
500,2,0.6923671497584541,0.6859614390498241,0.6923671497584541,0.961717047119206,0.56,0.5697717222026112,0.56,0.9090149890763681
500,3,0.6861835748792271,0.6523397126312656,0.6861835748792271,0.9581944223859052,0.5796289137997681,0.5740649663416709,0.5796289137997681,0.9141967441201957
500,4,0.7164669501352918,0.6845876453486928,0.7164669501352918,0.9607473144527411,0.5632006184770004,0.5605987509953535,0.5632006184770004,0.9149979718435006
600,0,0.7334672999634637,0.7062710851425744,0.7334672999634636,0.9675256474672851,0.5812933869199854,0.5960156262534462,0.5811107051516259,0.9277268713149687
600,1,0.7246985750822068,0.7044559881934771,0.7246985750822068,0.9700867166975831,0.6049315068493151,0.5826615368602047,0.6049315068493151,0.9117547865919526
600,2,0.7172602739726027,0.6966708742745877,0.7172602739726027,0.9679819379764789,0.5952511415525114,0.5690987551135488,0.5952511415525115,0.9144968444956615
600,3,0.6801826484018265,0.6585280944428036,0.6801826484018265,0.9585643742379931,0.5886006576543661,0.5706977225530209,0.5886006576543661,0.9113886337809171
600,4,0.7077091706247717,0.6857873419805763,0.7077091706247717,0.962518856818169,0.5531603945926197,0.5796439583796782,0.5531603945926197,0.9208227505228261
700,0,0.7041912019397298,0.7007955568944794,0.7041912019397298,0.9688209053558539,0.617076550051957,0.6185494124275657,0.617076550051957,0.9224819875349554
700,1,0.7123311395912713,0.7155791207988114,0.7123311395912713,0.9698783704970232,0.5861471861471861,0.5983422602542365,0.5861471861471862,0.9284607791936751
700,2,0.7245021645021644,0.7186982411763885,0.7245021645021645,0.9686661637223668,0.6268398268398269,0.6308398571206146,0.6268398268398269,0.9394457676435441
700,3,0.702857142857143,0.6861248237312958,0.7028571428571428,0.964355758364088,0.5607897471423623,0.5962047004551331,0.5607897471423623,0.9277256870629477
700,4,0.7099064773120887,0.6941819058788626,0.7099064773120887,0.9674680996321924,0.6047800484932455,0.6117709747409048,0.6047800484932456,0.9296999294354205
800,0,0.7426736911425749,0.738731615686301,0.7426736911425749,0.9689185686721324,0.6381297332894303,0.6326541431039067,0.6381297332894303,0.9291561174579077
800,1,0.7212709911096477,0.7225596233130054,0.7212709911096477,0.9691716309154945,0.6202469135802469,0.608856989436182,0.6202469135802469,0.9423231352341185
800,2,0.7269135802469135,0.7111264846197155,0.7269135802469135,0.9703356212994023,0.6054320987654321,0.6257292248573462,0.6054320987654321,0.9459309391815562
800,3,0.7247736625514404,0.7076286906584106,0.7247736625514404,0.9719450311300565,0.607672044781034,0.5931256611539594,0.6076720447810339,0.932817909982454
800,4,0.7518933157721436,0.7442280987084867,0.7518933157721436,0.9739047771762724,0.6084952255515311,0.602889363999291,0.6084952255515311,0.9296869879558872
900,0,0.7463131471603388,0.7424935479604495,0.7463131471603389,0.9735446038062238,0.6799497960464386,0.6697832276311286,0.6799497960464387,0.9414608650902142
900,1,0.7773768434264199,0.7749715379689083,0.7773768434264199,0.9787134422252765,0.6850196078431372,0.6669476136424055,0.6848627450980392,0.9410796841131219
900,2,0.7491764705882353,0.7471609059777738,0.7491764705882353,0.9766845604699922,0.623686274509804,0.6361725527509912,0.623686274509804,0.9381229010662087
900,3,0.7430588235294118,0.7719762172230458,0.7429019607843137,0.9754566186705299,0.6479447756510825,0.672941683313731,0.6477878882962034,0.9440576855306783
900,4,0.7507059930969564,0.7473829358942169,0.7508628804518356,0.9773914490400392,0.6479447756510825,0.6565217978354624,0.6479447756510825,0.9404240480424816
1000,0,0.7771950854060533,0.7794412040613138,0.7771950854060533,0.9811807136879374,0.6601738088103086,0.6784627797743613,0.6601738088103086,0.9443613481173324
1000,1,0.8017680551393467,0.7975593589199604,0.8017680551393467,0.9827136199069073,0.6617228464419476,0.6644254489133892,0.6617228464419476,0.9318331293980268
1000,2,0.7676404494382022,0.7657689096861675,0.7676404494382022,0.9781614089011312,0.6525842696629214,0.652986533599159,0.6525842696629214,0.9431366012260611
1000,3,0.7465168539325844,0.7487262991268595,0.7465168539325843,0.9757173770915988,0.6101288582559186,0.6308551444897941,0.6101288582559184,0.9295987696408946
1000,4,0.7572670062930775,0.7638163637626337,0.7572670062930776,0.9756820695208792,0.6195684746778544,0.6329196886518867,0.6195684746778544,0.9455830039224653
